Miami,Hialeah,Miami Gardens,Miami Beach,Homestead,Kendall,Fountainbleau,North Miami,Kendale Lakes,Tamiami,The Hammocks,Doral,Coral Gables,Country Club,Cutler Bay,North Miami Beach,Kendall West,Aventura,Golden Glades,Richmond West,Miami Lakes,University Park,The Crossings,Hialeah Gardens,Ives Estates,Sunny Isles Beach,Ojus,Glenvar Heights,Sunset,Three Lakes,Key Biscayne,South Miami,Country Walk,North Bay Village,Surfside,Bay Harbor Islands,Bal Harbour,date
2200.0,,1525.0,2400.0,1300.0,1685.0,1600.0,1500.0,1500.0,2000.0,1825.0,2150.0,2500.0,1400.0,1650.0,1500.0,1500.0,2200.0,,1900.0,,,1625.0,,,,,1725.0,,1825.0,4400.0,,,1790.0,3000.0,1725.0,,2014-01
2200.0,,1500.0,2400.0,1300.0,1675.0,1550.0,1500.0,1582.5,2000.0,1842.5,2200.0,2500.0,1400.0,1700.0,1500.0,1550.0,2200.0,,1850.0,,,1600.0,,,,,1650.0,,1800.0,4500.0,,,1900.0,3000.0,1700.0,,2014-02
2200.0,,1500.0,2400.0,1300.0,1650.0,1550.0,1480.0,1575.0,1937.5,1800.0,2200.0,2600.0,1387.5,1700.0,1450.0,1550.0,2200.0,,1850.0,,,1600.0,,,,,1600.0,,1850.0,4500.0,,,1900.0,2850.0,1700.0,,2014-03
2200.0,,1500.0,2395.0,1300.0,1650.0,1500.0,1495.0,1550.0,2000.0,1800.0,2150.0,2600.0,1377.5,1677.5,1500.0,1500.0,2200.0,,1875.0,,,1600.0,,,,,1600.0,,1850.0,4500.0,,,1889.0,2750.0,1685.0,,2014-04
2225.0,,1500.0,2400.0,1312.5,1650.0,1450.0,1500.0,1450.0,1950.0,1800.0,2100.0,2700.0,1350.0,1637.5,1600.0,1400.0,2300.0,,1925.0,,,1600.0,,,,,1600.0,,1850.0,4500.0,,,1987.5,2675.0,1750.0,,2014-05
2200.0,,1500.0,2390.0,1325.0,1700.0,1450.0,1495.0,1500.0,1950.0,1750.0,2100.0,2650.0,1350.0,1600.0,1550.0,1400.0,2300.0,,1900.0,,,1600.0,,,,,1662.5,,1850.0,4500.0,,,2100.0,2800.0,1750.0,,2014-06
2300.0,,1550.0,2400.0,1350.0,1700.0,1500.0,1450.0,1500.0,1975.0,1800.0,2150.0,2600.0,1350.0,1650.0,1650.0,1450.0,2350.0,,1895.0,,,1650.0,,,,,1650.0,,1850.0,4500.0,,,2100.0,2750.0,1797.5,,2014-07
2217.5,,1600.0,2400.0,1350.0,1700.0,1500.0,1450.0,1500.0,2000.0,1850.0,2050.0,2675.0,1350.0,1600.0,1600.0,1450.0,2350.0,,1950.0,,,1655.0,,,,,1782.5,,1850.0,4500.0,,,2196.0,2925.0,1772.5,,2014-08
2200.0,,1600.0,2300.0,1350.0,1750.0,1550.0,1500.0,1500.0,2000.0,1850.0,2160.0,2750.0,1400.0,1650.0,1550.0,1462.5,2300.0,,1950.0,,,1800.0,,,,,1695.0,,1850.0,4500.0,,,2100.0,2650.0,1825.0,,2014-09
2200.0,,1575.0,2350.0,1350.0,1800.0,1600.0,1450.0,1475.0,2100.0,1850.0,2200.0,2900.0,1400.0,1600.0,1600.0,1500.0,2345.0,,1950.0,,,1700.0,,,,,1672.5,,1800.0,5000.0,,,2200.0,2900.0,1850.0,,2014-10
2200.0,,1550.0,2450.0,1310.0,1775.0,1550.0,1500.0,1500.0,2150.0,1850.0,2200.0,2800.0,1400.0,1600.0,1600.0,1550.0,2400.0,,1900.0,,,1600.0,,,,,1695.0,,1800.0,5000.0,,,2200.0,3000.0,1950.0,,2014-11
2150.0,,1500.0,2400.0,1350.0,1800.0,1650.0,1450.0,1500.0,2200.0,1800.0,2200.0,2750.0,1400.0,1575.0,1550.0,1490.0,2350.0,,1900.0,,,1595.0,,,,,1700.0,,1800.0,5100.0,,,1975.0,3000.0,1900.0,,2014-12
2100.0,,1500.0,2400.0,1350.0,1795.0,1550.0,1450.0,1550.0,2275.0,1800.0,2200.0,2797.5,1400.0,1575.0,1500.0,1450.0,2400.0,,1850.0,,,1600.0,,,,,1800.0,,1800.0,5500.0,,,2100.0,3000.0,1950.0,,2015-01
2200.0,,1500.0,2500.0,1350.0,1850.0,1550.0,1400.0,1575.0,2350.0,1850.0,2300.0,2750.0,1400.0,1600.0,1600.0,1450.0,2300.0,,1900.0,,,1600.0,,,,,1550.0,,1850.0,5550.0,,,2150.0,3100.0,1950.0,,2015-02
2300.0,,1600.0,2500.0,1400.0,1800.0,1600.0,1500.0,1550.0,2200.0,1850.0,2300.0,2700.0,1494.5,1700.0,1650.0,1500.0,2400.0,,1850.0,,,1600.0,,,,,1727.5,,1850.0,5962.5,,,2100.0,3100.0,2100.0,,2015-03
2400.0,,1689.0,2600.0,1400.0,1800.0,1600.0,1649.5,1550.0,2200.0,1900.0,2300.0,2950.0,1485.0,1777.5,1650.0,1600.0,2350.0,,1900.0,,,1650.0,,,,,1850.0,,1850.0,6100.0,,,2100.0,3050.0,2000.0,,2015-04
2400.0,,1650.0,2500.0,1399.5,1800.0,1600.0,1600.0,1550.0,2150.0,1850.0,2300.0,2750.0,1500.0,1750.0,1600.0,1600.0,2450.0,,1887.5,,,1650.0,,,,,1875.0,,1900.0,6000.0,,,2200.0,3000.0,2000.0,,2015-05
2449.5,,1650.0,2500.0,1375.0,1800.0,1600.0,1550.0,1500.0,2000.0,1850.0,2262.5,2929.5,1499.0,1750.0,1600.0,1500.0,2499.0,,1950.0,,,1695.0,,,,,1837.5,,1900.0,6000.0,,,2250.0,3000.0,2000.0,,2015-06
2495.0,,1672.0,2500.0,1400.0,1800.0,1600.0,1559.5,1600.0,2000.0,1850.0,2300.0,2950.0,1550.0,1705.0,1650.0,1525.0,2500.0,,1900.0,,,1699.5,,,,,1850.0,,1912.5,5500.0,,,2300.0,3237.5,1995.0,,2015-07
2500.0,,1675.0,2500.0,1400.0,1825.0,1600.0,1600.0,1600.0,2025.0,1850.0,2250.0,2750.0,1550.0,1700.0,1605.0,1500.0,2510.0,,2000.0,,,1725.0,,,,,1800.0,,1900.0,5500.0,,,2300.0,3145.0,1905.0,,2015-08
2450.0,,1650.0,2400.0,1400.0,1800.0,1600.0,1550.0,1600.0,2000.0,1850.0,2200.0,2800.0,1477.5,1750.0,1600.0,1500.0,2500.0,,1995.0,,,1699.5,,,,,1750.0,,1900.0,5500.0,,,2200.0,3190.0,2200.0,,2015-09
2400.0,,1672.5,2450.0,1400.0,1797.0,1600.0,1550.0,1597.5,2200.0,1900.0,2200.0,2800.0,1490.0,1750.0,1650.0,1500.0,2500.0,,1997.5,,,1650.0,,,,,1700.0,,1900.0,5500.0,,,2200.0,3200.0,2200.0,,2015-10
2400.0,,1650.0,2500.0,1400.0,1785.0,1650.0,1600.0,1600.0,2250.0,1950.0,2400.0,2800.0,1499.5,1750.0,1650.0,1600.0,2400.0,,1950.0,,,1700.0,,,,,1697.5,,1925.0,5500.0,,,2200.0,3100.0,2000.0,,2015-11
2475.0,,1650.0,2500.0,1400.0,1750.0,1650.0,1600.0,1575.0,2275.0,1950.0,2450.0,2800.0,1450.0,1725.0,1700.0,1500.0,2300.0,,1975.0,,,1700.0,,,,,1700.0,,1995.0,5500.0,,,2100.0,3200.0,2050.0,,2015-12
2450.0,,1695.0,2500.0,1450.0,1775.0,1600.0,1600.0,1562.5,2275.0,1950.0,2450.0,2900.0,1450.0,1750.0,1700.0,1550.0,2400.0,,1950.0,,,1700.0,,,,,1600.0,,1995.0,5500.0,,,2175.0,3345.0,2000.0,,2016-01
2450.0,,1750.0,2600.0,1500.0,1800.0,1600.0,1730.0,1592.5,2285.0,1950.0,2400.0,2772.5,1450.0,1700.0,1750.0,1550.0,2500.0,,1950.0,,,1700.0,,,,,1700.0,,1995.0,5200.0,,,2200.0,3200.0,2000.0,,2016-02
2499.0,,1750.0,2600.0,1500.0,1800.0,1600.0,1750.0,1597.5,2300.0,1950.0,2400.0,2800.0,1499.5,1797.5,1750.0,1590.0,2550.0,,1999.0,,,1750.0,,,,,1700.0,,1950.0,5200.0,,,2200.0,3200.0,2000.0,,2016-03
2450.0,,1749.5,2500.0,1450.0,1795.0,1600.0,1600.0,1575.0,2200.0,1950.0,2200.0,2875.0,1475.0,1695.0,1700.0,1637.5,2500.0,,2000.0,,,1700.0,,,,,1675.0,,1950.0,5000.0,,,2200.0,3000.0,1825.0,,2016-04
2390.0,,1750.0,2500.0,1400.0,1700.0,1600.0,1500.0,1550.0,2100.0,1950.0,2350.0,2800.0,1494.5,1800.0,1700.0,1550.0,2450.0,,2000.0,,,1700.0,,,,,1650.0,,1925.0,5000.0,,,2050.0,3050.0,1850.0,,2016-05
2399.5,1850.0,1775.0,2400.0,1400.0,1850.0,1550.0,1500.0,1600.0,2200.0,1900.0,2200.0,2900.0,1550.0,1767.5,1600.0,1580.0,2500.0,1400.0,2000.0,2200.0,,1750.0,,,,,1850.0,,1900.0,5200.0,,,2000.0,3100.0,1850.0,,2016-06
2300.0,1800.0,1700.0,2400.0,1450.0,1750.0,1550.0,1435.0,1590.0,1950.0,1900.0,2292.5,2600.0,1500.0,1800.0,1620.0,1625.0,2500.0,1350.0,2000.0,2200.0,,1650.0,,1950.0,,,1887.5,,1900.0,5000.0,2137.5,,2100.0,2900.0,2000.0,,2016-07
2300.0,1900.0,1650.0,2200.0,1450.0,1799.0,1600.0,1520.0,1550.0,1950.0,1900.0,2300.0,2750.0,1500.0,1800.0,1600.0,1500.0,2495.0,1300.0,2000.0,2097.5,,1675.0,,1900.0,,,1850.0,,1900.0,5000.0,2200.0,,2200.0,3000.0,1900.0,,2016-08
2375.0,1962.5,1712.5,2210.0,1500.0,1712.5,1600.0,1600.0,1550.0,2200.0,1850.0,2297.5,2750.0,1500.0,1749.0,1700.0,1587.5,2200.0,1300.0,2000.0,2300.0,,1800.0,,1899.0,,,1824.0,,1900.0,5000.0,2200.0,,2000.0,2850.0,1900.0,,2016-09
2299.0,1850.0,1675.0,2199.0,1545.0,1650.0,1600.0,1500.0,1600.0,1900.0,2000.0,2267.5,2695.0,1550.0,1750.0,1577.5,1612.5,2200.0,1300.0,2000.0,2369.0,,1750.0,,2100.0,,,1712.5,,1950.0,5000.0,2035.0,,2190.0,2550.0,1900.0,,2016-10
2350.0,2000.0,1700.0,2350.0,1500.0,1850.0,1600.0,1550.0,1600.0,2000.0,1937.0,2300.0,2875.0,1500.0,1750.0,1600.0,1500.0,2300.0,1350.0,2000.0,2300.0,,1800.0,,2000.0,,,1925.0,,1900.0,4600.0,2100.0,,2050.0,3000.0,1850.0,,2016-11
2250.0,1950.0,1699.0,2100.0,1500.0,1700.0,1585.0,1462.5,1600.0,2200.0,1850.0,2200.0,2750.0,1500.0,1700.0,1562.5,1570.0,2300.0,1350.0,1959.5,2300.0,,1800.0,,1675.0,,1425.0,1900.0,,1850.0,4400.0,2000.0,,2000.0,2850.0,1775.0,,2016-12
2300.0,2000.0,1662.5,2150.0,1500.0,1799.5,1600.0,1550.0,1600.0,2000.0,1850.0,2300.0,2795.0,1500.0,1787.5,1550.0,1600.0,2250.0,1272.5,2000.0,2100.0,,1800.0,,1925.0,3500.0,1550.0,1800.0,2200.0,1900.0,4900.0,2250.0,2100.0,2150.0,2590.0,1850.0,,2017-01
2300.0,2000.0,1675.0,2200.0,1500.0,1800.0,1650.0,1575.0,1650.0,2200.0,1950.0,2297.5,2900.0,1600.0,1799.0,1600.0,1650.0,2300.0,1250.0,2000.0,2100.0,,1800.0,,1900.0,3500.0,1525.0,1700.0,2275.0,1875.0,5000.0,2167.5,2125.0,2150.0,2800.0,1900.0,,2017-02
2300.0,2000.0,1662.5,2300.0,1500.0,1762.5,1650.0,1600.0,1600.0,2200.0,1900.0,2285.0,3000.0,1592.5,1800.0,1600.0,1650.0,2362.5,1350.0,1999.0,2000.0,,1725.0,,1950.0,3690.0,1600.0,1672.5,2375.0,1900.0,4500.0,2275.0,2150.0,2050.0,2800.0,1975.0,3700.0,2017-03
2300.0,2000.0,1700.0,2250.0,1500.0,1800.0,1650.0,1650.0,1650.0,2200.0,1900.0,2345.0,3050.0,1537.5,1800.0,1600.0,1650.0,2350.0,1362.5,2000.0,2000.0,,1712.5,,1950.0,3400.0,1600.0,1900.0,2250.0,1950.0,4450.0,2400.0,2200.0,2100.0,2900.0,2200.0,3800.0,2017-04
2300.0,1995.0,1749.0,2297.5,1500.0,1800.0,1687.5,1700.0,1600.0,2200.0,1850.0,2300.0,2900.0,1550.0,1850.0,1632.5,1612.5,2300.0,1425.0,2000.0,2100.0,,1725.0,,1999.0,3250.0,1525.0,1700.0,2295.0,1992.5,4500.0,2200.0,2270.0,2200.0,2795.0,2200.0,3775.0,2017-05
2300.0,2000.0,1700.0,2250.0,1500.0,1800.0,1700.0,1600.0,1600.0,2250.0,1900.0,2300.0,2900.0,1550.0,1800.0,1725.0,1650.0,2300.0,1370.0,2000.0,1910.0,,1700.0,,2100.0,3200.0,1650.0,1787.5,2200.0,1950.0,4500.0,2135.0,2310.0,2100.0,2900.0,2200.0,3600.0,2017-06
2300.0,2000.0,1749.0,2299.5,1500.0,1800.0,1700.0,1550.0,1600.0,2250.0,1850.0,2350.0,2700.0,1550.0,1900.0,1762.5,1650.0,2300.0,1300.0,2000.0,2112.5,,1700.0,,1900.0,3125.0,1600.0,1875.0,2200.0,1950.0,4500.0,2190.0,2334.5,2050.0,2850.0,2200.0,3600.0,2017-07
2300.0,1957.0,1750.0,2350.0,1500.0,1800.0,1665.0,1550.0,1650.0,2250.0,1850.0,2350.0,2700.0,1500.0,1872.5,1740.0,1562.5,2375.0,1300.0,2095.0,2200.0,,1750.0,,1900.0,3390.0,1650.0,1772.5,2200.0,1950.0,4500.0,2550.0,2287.0,2000.0,2850.0,2300.0,4200.0,2017-08
2300.0,2000.0,1700.0,2350.0,1500.0,1800.0,1635.0,1550.0,1650.0,2250.0,1900.0,2400.0,2750.0,1500.0,1850.0,1700.0,1590.0,2400.0,1350.0,2100.0,2200.0,,1700.0,,1999.0,3500.0,1808.0,1825.0,2300.0,1958.0,4500.0,2500.0,2300.0,2000.0,2850.0,2297.5,4325.0,2017-09
2300.0,2000.0,1675.0,2300.0,1500.0,1775.0,1600.0,1475.0,1650.0,2275.0,1950.0,2400.0,2600.0,1550.0,1872.5,1700.0,1550.0,2400.0,1397.5,2100.0,2100.0,,1750.0,,1999.0,3500.0,1790.0,1750.0,2300.0,1995.0,4900.0,2317.5,2380.0,2050.0,2900.0,2200.0,4000.0,2017-10
2300.0,2000.0,1650.0,2300.0,1500.0,1800.0,1600.0,1400.0,1650.0,2250.0,1950.0,2400.0,2587.0,1535.0,1800.0,1699.5,1580.0,2300.0,1350.0,2200.0,2025.0,2200.0,1787.5,,1900.0,3500.0,1875.0,1700.0,2450.0,2000.0,4800.0,2135.0,2320.0,2000.0,2950.0,2295.0,4200.0,2017-11
2300.0,2050.0,1650.0,2300.0,1550.0,1800.0,1650.0,1450.0,1699.5,2287.5,1950.0,2400.0,2612.5,1550.0,1800.0,1650.0,1650.0,2350.0,1300.0,2199.0,2199.5,2450.0,1775.0,,1900.0,3495.0,1850.0,1700.0,2450.0,2000.0,4950.0,2167.5,2320.0,2000.0,3100.0,2297.5,4272.5,2017-12
2350.0,2000.0,1650.0,2350.0,1537.5,1800.0,1650.0,1450.0,1699.5,2300.0,2000.0,2400.0,2750.0,1550.0,1785.0,1687.5,1650.0,2350.0,1300.0,2165.0,2300.0,2400.0,1800.0,,1700.0,3500.0,1900.0,1700.0,2400.0,2000.0,4925.0,2135.0,2425.0,2000.0,2850.0,2200.0,3800.0,2018-01
2322.5,1999.5,1700.0,2400.0,1550.0,1850.0,1650.0,1550.0,1700.0,2200.0,2000.0,2400.0,2900.0,1550.0,1795.0,1700.0,1600.0,2300.0,1300.0,2145.0,2350.0,2395.0,1900.0,,1999.5,3500.0,1750.0,1850.0,2400.0,2100.0,5000.0,2200.0,2490.0,1980.0,2900.0,2100.0,3625.0,2018-02
2400.0,2000.0,1750.0,2450.0,1600.0,1845.0,1650.0,1599.5,1650.0,2100.0,2000.0,2400.0,2997.5,1550.0,1799.0,1750.0,1637.5,2300.0,1300.0,2150.0,2300.0,2220.0,1800.0,,1800.0,3600.0,1600.0,1785.0,2300.0,2000.0,4800.0,2050.0,2200.0,2012.5,2970.0,2292.5,3625.0,2018-03
2400.0,2000.0,1750.0,2400.0,1600.0,1850.0,1635.0,1595.0,1662.5,2150.0,2000.0,2400.0,3000.0,1600.0,1750.0,1750.0,1662.5,2400.0,1300.0,2080.0,2425.0,2300.0,1750.0,,1800.0,3574.5,1650.0,1855.0,2400.0,2000.0,4975.0,2100.0,2250.0,2150.0,3000.0,2150.0,3800.0,2018-04
2450.0,2050.0,1750.0,2400.0,1600.0,1850.0,1650.0,1550.0,1650.0,2125.0,2000.0,2387.5,2900.0,1600.0,1750.0,1770.0,1600.0,2500.0,1295.0,2100.0,2300.0,2300.0,1800.0,,1850.0,3500.0,1780.5,1820.0,2500.0,1950.0,4900.0,2300.0,2200.0,2100.0,2997.0,2100.0,4350.0,2018-05
2475.0,2000.0,1800.0,2400.0,1600.0,1800.0,1600.0,1600.0,1695.0,2162.5,2000.0,2350.0,2900.0,1650.0,1800.0,1799.0,1550.0,2500.0,1300.0,2130.0,2200.0,2000.0,1750.0,,1650.0,3500.0,1970.0,1800.0,2225.0,2000.0,4800.0,2335.0,2200.0,2100.0,3050.0,2200.0,4200.0,2018-06
2500.0,2000.0,1795.0,2373.5,1600.0,1800.0,1695.0,1600.0,1699.0,2000.0,2000.0,2375.0,2872.5,1650.0,1785.0,1725.0,1550.0,2500.0,1400.0,2100.0,2250.0,2200.0,1800.0,1900.0,1650.0,3700.0,1990.0,1881.0,2450.0,2000.0,4774.5,2375.0,2200.0,2075.0,3000.0,2190.0,4550.0,2018-07
2500.0,2000.0,1792.5,2400.0,1600.0,1750.0,1612.5,1600.0,1650.0,2000.0,1995.0,2350.0,2875.0,1630.0,1750.0,1700.0,1550.0,2450.0,1400.0,2172.5,2300.0,2200.0,1800.0,1900.0,1700.0,3650.0,1738.5,1850.0,2250.0,2000.0,4774.5,2200.0,2200.0,2200.0,2990.0,2300.0,4100.0,2018-08
2500.0,1975.0,1750.0,2400.0,1550.0,1750.0,1700.0,1600.0,1650.0,2050.0,1990.0,2300.0,2800.0,1600.0,1750.0,1700.0,1585.0,2400.0,1349.0,2100.0,2300.0,2200.0,1800.0,1675.0,1662.5,3600.0,1700.0,1850.0,2250.0,2000.0,4799.0,2322.5,2200.0,2200.0,2950.0,2150.0,4000.0,2018-09
2495.0,1950.0,1765.0,2395.0,1550.0,1750.0,1700.0,1700.0,1650.0,2000.0,1964.5,2300.0,2750.0,1600.0,1800.0,1700.0,1600.0,2400.0,1394.5,2075.0,2250.0,2225.0,1800.0,1950.0,1700.0,3790.0,1625.0,1875.0,2300.0,2000.0,4600.0,2225.0,2205.0,2300.0,2947.5,2375.0,3900.0,2018-10
2450.0,2000.0,1799.0,2400.0,1550.0,1750.0,1650.0,1600.0,1675.0,1950.0,1954.5,2360.0,2950.0,1650.0,1800.0,1725.0,1600.0,2400.0,1375.0,2100.0,2225.0,2250.0,1800.0,1900.0,1700.0,3925.0,1600.0,1875.0,2400.0,2000.0,4800.0,2400.0,2300.0,2300.0,3000.0,2200.0,3940.0,2018-11
2400.0,2000.0,1797.0,2450.0,1550.0,1750.0,1650.0,1625.0,1650.0,1950.0,2000.0,2400.0,2800.0,1650.0,1800.0,1700.0,1575.0,2450.0,1350.0,2080.0,2200.0,2300.0,1777.5,1800.0,1695.0,3800.0,1700.0,1900.0,2400.0,2000.0,4800.0,2395.0,2300.0,2300.0,3000.0,2300.0,3950.0,2018-12
2400.0,2000.0,1717.5,2400.0,1550.0,1800.0,1650.0,1650.0,1662.5,1925.0,1950.0,2375.0,2900.0,1600.0,1850.0,1750.0,1580.0,2400.0,1382.5,2052.5,2300.0,2300.0,1777.5,1800.0,1862.5,3800.0,1650.0,1850.0,2400.0,2000.0,4700.0,2395.0,2282.5,2250.0,3000.0,2250.0,3900.0,2019-01
2400.0,1975.0,1700.0,2400.0,1550.0,1800.0,1650.0,1650.0,1650.0,2000.0,1982.5,2400.0,3000.0,1600.0,1825.0,1800.0,1550.0,2350.0,1350.0,2120.0,2450.0,2300.0,1800.0,2000.0,1862.5,3550.0,1850.0,1850.0,2400.0,2000.0,4650.0,2400.0,2300.0,2250.0,2900.0,2295.0,4000.0,2019-02
2450.0,1975.0,1750.0,2400.0,1600.0,1800.0,1700.0,1600.0,1675.0,2000.0,2000.0,2400.0,2950.0,1600.0,1800.0,1900.0,1550.0,2400.0,1322.5,2110.0,2050.0,2300.0,1875.0,1950.0,2024.5,3700.0,1825.0,1850.0,2400.0,2000.0,4700.0,2400.0,2397.5,2250.0,2825.0,2200.0,4000.0,2019-03
2405.0,2000.0,1800.0,2400.0,1600.0,1850.0,1650.0,1600.0,1700.0,2200.0,2000.0,2375.0,3000.0,1600.0,1850.0,2100.0,1600.0,2400.0,1250.0,2100.0,2150.0,2275.0,1850.0,1700.0,1850.0,3800.0,1700.0,1775.0,2400.0,2000.0,4925.0,2500.0,2400.0,2250.0,2800.0,2500.0,4000.0,2019-04
2400.0,2000.0,1825.0,2400.0,1650.0,1850.0,1650.0,1450.0,1700.0,2000.0,2000.0,2350.0,3000.0,1600.0,1850.0,2110.0,1625.0,2400.0,1200.0,2112.5,2300.0,2125.0,1800.0,1700.0,1900.0,3500.0,1625.0,1800.0,2600.0,2000.0,5000.0,2150.0,2400.0,2100.0,2850.0,2425.0,4100.0,2019-05
2400.0,1975.0,1849.5,2362.5,1650.0,1849.5,1677.5,1500.0,1700.0,1950.0,2000.0,2300.0,2900.0,1585.0,1899.0,2075.0,1650.0,2400.0,1200.0,2125.0,2300.0,2300.0,1850.0,1600.0,1800.0,3600.0,1677.5,1800.0,2600.0,2000.0,5200.0,2150.0,2397.5,2125.0,2737.5,2462.5,3925.0,2019-06
2400.0,1975.0,1845.0,2400.0,1650.0,1875.0,1650.0,1600.0,1700.0,2100.0,2050.0,2300.0,2990.0,1600.0,1950.0,1900.0,1575.0,2350.0,1325.0,2150.0,2322.5,2309.0,1850.0,1680.0,1799.0,3600.0,1600.0,1787.5,2500.0,2000.0,5500.0,2200.0,2350.0,2100.0,2700.0,2375.0,3900.0,2019-07
2400.0,1900.0,1850.0,2392.0,1650.0,1862.5,1690.0,1600.0,1700.0,2200.0,2019.0,2300.0,2850.0,1600.0,1949.5,1895.0,1562.5,2400.0,1350.0,2079.0,2500.0,2400.0,1800.0,1665.0,1700.0,3700.0,1599.0,1787.0,2500.0,2000.0,5200.0,2300.0,2300.0,2100.0,2875.0,2295.0,4000.0,2019-08
2400.0,1895.0,1799.0,2300.0,1650.0,1850.0,1650.0,1600.0,1700.0,2200.0,2000.0,2350.0,2800.0,1600.0,1890.0,1882.5,1600.0,2300.0,1225.0,2200.0,2500.0,2375.0,1800.0,1650.0,1700.0,3900.0,1500.0,1697.5,2500.0,2000.0,5000.0,2350.0,2350.0,2100.0,3000.0,2200.0,4000.0,2019-09
2400.0,1850.0,1800.0,2300.0,1600.0,1800.0,1600.0,1550.0,1650.0,2150.0,1900.0,2300.0,2762.5,1550.0,1790.0,1825.0,1600.0,2397.5,1300.0,2200.0,2400.0,2300.0,1750.0,1700.0,1650.0,3962.5,1450.0,1700.0,2500.0,2000.0,5000.0,2200.0,2202.5,2000.0,3200.0,2000.0,3775.0,2019-10
2400.0,1850.0,1792.5,2300.0,1600.0,1750.0,1600.0,1500.0,1662.5,1800.0,1850.0,2200.0,2750.0,1540.0,1800.0,1700.0,1550.0,2300.0,1350.0,2047.5,2400.0,2000.0,1750.0,1850.0,1850.0,4000.0,1425.0,1697.5,2400.0,2000.0,4997.5,2125.0,2199.0,1950.0,3200.0,2100.0,3450.0,2019-11
2400.0,1850.0,1800.0,2300.0,1562.5,1745.0,1600.0,1500.0,1650.0,1800.0,1825.0,2200.0,2650.0,1550.0,1835.0,1712.5,1550.0,2300.0,1400.0,2025.0,2400.0,2000.0,1750.0,1575.0,1950.0,3900.0,1400.0,1637.5,2297.0,2000.0,5000.0,2200.0,2200.0,1974.5,2900.0,2200.0,3800.0,2019-12
